measurement_uid,dns_experiment_failure,http_experiment_failure,accessible,blocking,resolver_asn,status_code
20241209214627.419977_UY_webconnectivity_3894797dedbc9a24,None,connection_refused,False,dns,AS6057,403
20241209214626.682664_UY_webconnectivity_601076505b2f18d1,None,connection_refused,False,dns,AS6057,404
20241209214625.383856_UY_webconnectivity_8e54fe212c938a48,None,connection_refused,False,dns,AS6057,200
20241209214623.758589_UY_webconnectivity_e550063aca47bc4e,None,connection_refused,False,dns,AS6057,-1
20241209214624.464150_UY_webconnectivity_e5497d0c2fb62642,None,connection_refused,False,dns,AS6057,-1
20241209214623.143485_UY_webconnectivity_7c50df49667d8920,None,connection_refused,False,dns,AS6057,200
20241209214622.525794_UY_webconnectivity_d64458d8f8c5e11a,None,connection_refused,False,dns,AS6057,200
20241209214621.867540_UY_webconnectivity_481e3ada61d59c43,None,connection_refused,False,dns,AS6057,-1
20241209214606.254925_UY_webconnectivity_d75f3df7440b8601,None,connection_refused,False,dns,AS6057,200
20241209214605.176556_UY_webconnectivity_bc7a45d1e00a1f09,None,connection_refused,False,dns,AS6057,200
20241209214604.555382_UY_webconnectivity_b89132ed7c473f92,None,connection_refused,False,dns,AS6057,200
20241209214602.836267_UY_webconnectivity_30e146cb38c6400b,None,connection_refused,False,dns,AS6057,200
20241209214601.124503_UY_webconnectivity_4ddda4ffcb515eae,None,connection_refused,False,dns,AS6057,403
20241209214600.519283_UY_webconnectivity_26539295e917a430,None,connection_refused,False,dns,AS6057,403
20241209214559.917782_UY_webconnectivity_fcfabef0f8e5bfdf,None,connection_refused,False,dns,AS6057,200
20241209214559.088968_UY_webconnectivity_4e08a50f2cf35a49,None,connection_refused,False,dns,AS6057,-1
20241209214558.512949_UY_webconnectivity_cfd1c8d6e5818ce6,None,connection_refused,False,dns,AS6057,200
20241209214555.867723_UY_webconnectivity_9d9e89e015cd4e6a,None,connection_refused,False,dns,AS6057,200
20241209214554.955721_UY_webconnectivity_a093d2ed66ac6997,None,connection_refused,False,dns,AS6057,403
20241209214553.650688_UY_webconnectivity_a7313f9557d33c3a,None,connection_refused,False,dns,AS6057,403
20241209214554.274474_UY_webconnectivity_aaf3903cc69930d7,None,connection_refused,False,dns,AS6057,403
20241209214553.013202_UY_webconnectivity_651abd73416abbef,None,connection_refused,False,dns,AS6057,200
20241209214551.748758_UY_webconnectivity_879a105a67a212c9,None,connection_refused,False,dns,AS6057,200
20241209214550.809117_UY_webconnectivity_0f9b0f7c797a55fe,None,connection_refused,False,dns,AS6057,403
20241209214549.962113_UY_webconnectivity_ed012b307fff7a11,None,connection_refused,False,dns,AS6057,403
20241209214549.137779_UY_webconnectivity_d3cc6f10f2efff41,None,connection_refused,False,dns,AS6057,403
20241209214548.475664_UY_webconnectivity_a81330fe1402426f,None,connection_refused,False,dns,AS6057,-1
20241209214532.150610_UY_webconnectivity_20be2cc734ed1d84,None,connection_refused,False,dns,AS6057,200
20241209214530.485665_UY_webconnectivity_ead034141a2b1282,None,connection_refused,False,dns,AS6057,503
20241209214529.855380_UY_webconnectivity_98fb21ec44582235,None,connection_refused,False,dns,AS6057,200
20241209214529.220130_UY_webconnectivity_db984c5ffa809a6a,None,connection_refused,False,dns,AS6057,502
20241209214528.200690_UY_webconnectivity_9c07a4b5cc853eb2,None,connection_refused,False,dns,AS6057,200
20241209214525.390920_UY_webconnectivity_2998b32d1d97f718,None,connection_refused,False,dns,AS6057,403
