Denunciante;URL o dominio denunciado;Plazo de bloqueo (días);Enlace a Resolución de URSEC
Directv del Uruguay Ltda;https://deportelibre.live/;30;Resolución 415/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://tutlehd4.com/;30;Resolución 415/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://www.soccerl.futbolandres.xyz/;30;Resolución 415/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://www.pirlotvhd.lol/;30;Resolución 415/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://www.tvgratishd.com/;30;Resolución 415/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://futbollibreperuhd.pe/;30;Resolución 415/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://tarjetarojaa.com/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://tvlibre.org/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://messi7.com/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://www.tarjetarojatvenvivo.pl/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://futbollibre-hd.com/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://apurogol.info/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://todopelotatvhd.com/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://pelotalibretv.futbol/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://pelotalibres.pe/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://futbolparatodostv.net/;30;Resolución 417/024 de 22 de agosto de 2024
Directv del Uruguay Ltda;https://streamtp.live/;10;Resolución 542/024 de 03 de octubre de 2024
Directv del Uruguay Ltda;https://pricesaskeloadsc.com/;10;Resolución 542/024 de 03 de octubre de 2024
Directv del Uruguay Ltda;https://la10hd.com/;10;Resolución 546/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://la10tv.com/;10;Resolución 546/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://www.pelotalibretv.pl/;30;Resolución 547/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://www.pirlotvonline.pl/;30;Resolución 547/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://www.rojadirectatvhd.org/;30;Resolución 547/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://rojadirectaenvivo.cc/;30;Resolución 547/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://www.rojadirectenvivo.me/;30;Resolución 547/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://rojadirectaenvivo.la/;30;Resolución 547/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://librefutbol.su/;30;Resolución 547/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://tutlehd5.com/;10;Resolución 548/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://tutl24.xyz/;10;Resolución 548/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://tvmagis.com/;30;Resolución 549/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://www.magistv-la.com/;30;Resolución 549/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://magistv-app.net/;30;Resolución 549/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://magistvonline.com/;30;Resolución 550/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://futbollibre.futbol/;30;Resolución 551/024 de 11 de octubre de 2024 
Directv del Uruguay Ltda;https://www.rojadirectatv.com.ph/;30;Resolución 551/024 de 11 de octubre de 2024 
Directv del Uruguay Ltda;https://rojadirectaenhd.net/;30;Resolución 551/024 de 11 de octubre de 2024 
Directv del Uruguay Ltda;https://futbollibre.org/;30;Resolución 551/024 de 11 de octubre de 2024 
Directv del Uruguay Ltda;https://www.telegratishd.com/;30;Resolución 551/024 de 11 de octubre de 2024 
Directv del Uruguay Ltda;https://deportestvhd3.com/;30;Resolución 551/024 de 11 de octubre de 2024 
Directv del Uruguay Ltda;https://televisionlibre.online/;30;Resolución 552/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://hamaradilhai.com/;10;Resolución 552/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://hamaradilhai.com/;10;Resolución 552/024 de 11 de octubre de 2024
Directv del Uruguay Ltda;https://futbollibre.futbol/;30;Resolución 578/024 de 31 de octubre de 2024
Directv del Uruguay Ltda;https://www.pirlo.tv/;30;Resolución 578/024 de 31 de octubre de 2024
Directv del Uruguay Ltda;https://pelotalibretv.com/;30;Resolución 578/024 de 31 de octubre de 2024
Directv del Uruguay Ltda;https://tvhd.pe/;30;Resolución 578/024 de 31 de octubre de 2024
Directv del Uruguay Ltda;https://futbollibre.app/;30;Resolución 578/024 de 31 de octubre de 2024
Directv del Uruguay Ltda;https://www.futbollibre.run/;30;Resolución 578/024 de 31 de octubre de 2024
Directv del Uruguay Ltda;https://deporte-libre.top/;30;Resolución 578/024 de 31 de octubre de 2024
Directv del Uruguay Ltda;https://pelotalibre.pe/;30;Resolución 578/024 de 31 de octubre de 2024
Directv del Uruguay Ltda;https://pelotalibre.org/;30;Resolución 578/024 de 31 de octubre de 2024
Directv del Uruguay Ltda;https://www.pirlotvhd.lol/;30;Resolución 582/024 de 7 de noviembre de 2024
Directv del Uruguay Ltda;https://www.zdsptv.com/;30;Resolución 582/024 de 7 de noviembre de 2024
